doc_id,topic_00,topic_01,topic_02,topic_03,topic_04
118,0.8591933,0.50269556,-0.077006206,0.012381761,0.05477937
119,0.6891694,-0.56173074,-0.11887547,0.120077334,0.42538705
120,0.8452824,-0.48340052,0.18597686,0.11733762,-0.05887378
121,0.8358905,-0.2960783,0.3868862,-0.08476622,-0.2382406
122,0.82640123,-0.43925545,0.11407228,0.16399643,-0.29018658
123,0.96486944,0.105252124,0.15004121,0.12412534,-0.14152531
124,0.81676835,0.39295635,-0.17929676,0.37975153,0.046003733
125,0.64310706,0.53150934,0.39297062,-0.33915502,-0.18563129
126,0.7388614,0.39623737,0.39496696,-0.36024734,-0.10631455
127,0.7377018,0.3967227,0.39472297,-0.36012724,-0.11361966
128,0.5826683,0.47828737,0.49683458,-0.42969325,-0.016058708
129,0.54230756,0.55130965,0.48227683,-0.40942356,-0.04173264
130,0.540954,0.5560774,0.47518575,-0.41132584,-0.056179874
131,0.53987306,0.5508921,0.48387927,-0.41106412,-0.04406913
132,0.57849234,0.6497628,0.38965648,-0.27455512,0.12626266
133,0.56410027,0.63462216,0.4280074,-0.28328404,0.12492195
134,0.65901196,0.46996918,0.4632317,-0.35691133,-0.053504456
135,0.56261647,0.50213474,0.49428824,-0.43209258,-0.01727683
136,0.65935665,0.4718609,0.4618215,-0.35585412,-0.051815644
137,0.59357154,0.5029954,0.46815124,-0.41858485,0.017018046
138,0.70630693,0.44631898,0.42214274,-0.3415184,-0.084205315
139,0.5615256,0.499757,0.50058347,-0.42911124,-0.014549292
140,0.7081096,0.42310435,0.4338031,-0.3598677,-0.043285545
141,0.59491074,0.50051713,0.47028515,-0.41733405,0.015098457
142,0.6563201,0.49066824,0.43637484,-0.3694766,-0.039404314
143,0.73553073,0.40556785,0.39404833,-0.3727703,-0.016658444
144,0.7345828,0.40783277,0.39114025,-0.3747443,-0.02523063
145,0.7058072,0.4262889,0.43547243,-0.35851192,-0.04412475
146,0.56157464,0.49981475,0.49848697,-0.4311235,-0.021502135
147,0.7026632,0.4019131,0.45854095,-0.36441892,-0.04085841
148,0.6573512,0.46774414,0.46674347,-0.3592623,-0.04675469
149,0.59495205,0.49829838,0.47056302,-0.41956106,0.016424255
150,0.73599774,0.40772772,0.39038113,-0.37327102,-0.018354047
151,0.7462011,0.53348964,0.2041547,-0.32714018,-0.099362805
152,0.752193,0.52427626,0.20641206,-0.3288989,-0.092518575
153,0.7516618,0.5262145,0.20292221,-0.3288859,-0.0935921
154,0.5657668,0.5857942,0.40103176,-0.38816124,-0.1589256
155,0.5633233,0.58394146,0.40931943,-0.3873634,-0.15519778
156,0.56083244,0.5820179,0.4021123,-0.39384148,-0.1729645
157,0.72761935,0.55611473,0.34953275,-0.19061711,-0.05290021
158,0.73525536,0.53763103,0.36468768,-0.18010665,-0.070120804
159,0.73039925,0.53634506,0.36477494,-0.19832745,-0.08035179
160,0.7608414,0.44202146,-0.3195171,0.32950965,-0.1227586
161,0.800491,-0.26531458,0.45350218,-0.22734267,-0.17740805
162,0.66083574,0.47876108,0.49587885,0.28706482,0.07603925
163,0.6627762,0.5432162,0.4084905,0.30916765,0.056522563
164,0.6646664,0.552349,0.39704305,0.30532432,0.047571003
165,0.662953,0.54323,0.40836418,0.30893695,0.056489985
166,0.6641254,0.54282385,0.41138375,0.3028,0.0579252
167,0.6657782,0.47638133,0.4959033,0.280557,0.07188711
168,0.6637271,0.47364047,0.5095305,0.26673478,0.06604715
169,0.66302454,0.543566,0.40782255,0.30896866,0.056156665
170,0.6663048,0.4761031,0.4959371,0.2797758,0.07166369
171,0.66570437,0.47833252,0.49331403,0.2816662,0.0730827
172,0.6637014,0.47570178,0.5068335,0.2679502,0.067310214
173,0.65952903,0.47601998,0.5086612,0.2734972,0.069924995
174,0.65837127,0.47274292,0.5062945,0.2850017,0.07417113
175,0.66343695,0.5425021,0.4189807,0.29507387,0.05412514
176,0.658049,0.47325793,0.5056189,0.28597924,0.07459155
177,0.46412534,0.112617016,-0.6412797,-0.36985752,0.47315004
178,0.51482505,0.21787404,0.08353414,0.8249013,-0.006786254
179,0.7129465,0.6887533,-0.08108223,0.09388008,-0.04402723
180,0.84180796,-0.44554782,0.29518208,0.017315002,-0.07358076
181,0.7469106,0.48667887,0.44888574,0.04499408,-0.04177706
182,0.89050734,0.14279589,-0.050485488,0.37647107,-0.20573479
183,0.7145875,-0.26667973,-0.28805837,-0.30954197,0.48933905
184,0.86845833,-0.27291483,-0.25613013,-0.3249841,0.008963551
185,0.6742156,-0.63150185,-0.17174153,0.115385145,0.3222265
186,0.3614842,0.41394824,0.66558915,0.12835337,0.4883569
187,0.36071092,0.4127456,0.66841733,0.1279858,0.4861756
188,0.35095882,0.39982057,0.67371905,0.1307597,0.49595958
189,0.85753363,-0.15756667,-0.27566972,-0.002126259,0.4047351
190,0.87529355,-0.4791761,0.0059483848,0.06308118,0.01539084
191,0.8274035,0.48584113,-0.072896145,-0.23045205,-0.14470603
192,0.8098597,0.5154878,-0.08769409,-0.2261522,-0.13987362
193,0.7997681,-0.4694836,-0.01765673,-0.36662796,0.07230716
194,0.8114201,-0.29188842,-0.16307695,-0.098919794,0.4690623
195,0.7988307,-0.45118967,0.25914764,-0.042190958,-0.2989314
196,0.8207197,-0.45280254,-0.10542826,0.2585386,0.20840265
197,0.8924741,-0.255702,0.28674525,0.17246042,-0.16168179
198,0.81766707,-0.439058,0.32143083,-0.06956614,-0.17461796
199,0.72249085,-0.48527917,0.39550635,-0.05822657,-0.28756836
200,0.8659406,-0.19765362,0.33038878,-0.11760551,-0.29680333
201,0.84641886,-0.3639959,0.25833467,-0.11964082,-0.26463434
202,0.72453064,-0.5472143,0.27752855,-0.14834288,-0.27673864
203,0.86635864,-0.35432845,0.24349888,-0.104544155,-0.23163086
204,0.7940299,-0.5840348,-0.056205876,0.07859205,0.13814485
205,0.8298136,-0.47028697,-0.036295503,0.29764983,0.0180787
206,0.89872813,0.03310423,-0.13185301,-0.09251372,-0.40650705
207,0.8184439,0.11837217,0.5357161,-0.13055207,0.11000919
208,0.849254,-0.49939385,0.018289186,0.03574501,-0.16661708
209,0.8955714,-0.14752501,-0.23285496,-0.3446175,-0.05661811
210,0.6740482,-0.5804738,-0.19825803,-0.077393584,0.40424392
211,0.896778,-0.3276824,0.07861123,-0.011640663,-0.2865279
212,0.89344627,-0.3391446,0.08575413,-0.0047903764,-0.2817056
213,0.8374551,-0.33893767,0.39074874,-0.08437606,-0.15487523
214,0.7340608,0.4454016,0.48938528,-0.1341631,-0.072625674
215,0.86995137,0.29369608,-0.30564633,0.0836728,0.23771088
216,0.8317876,0.20088135,0.19230768,-0.43720457,-0.19911304
217,0.6775048,0.34549597,0.5772712,-0.27697498,-0.10799348
218,0.6728958,0.3559199,0.56628627,-0.2943695,-0.11488588
219,0.67677355,0.5830145,0.21747117,-0.32865798,-0.21624507
220,0.68479174,0.3294095,0.5962264,-0.23792197,-0.10225821
221,0.68315154,0.3243481,0.59911674,-0.24361774,-0.09905507
222,0.6903579,0.33326748,0.5806293,-0.25576696,-0.09895249
223,0.6890491,0.33993036,0.57349485,-0.2658883,-0.10032817
224,0.9739108,0.12648307,0.008248464,0.082490705,0.16919532
225,0.67928034,0.3513949,0.5736219,-0.271435,-0.11126924
226,0.9054459,0.15618494,0.09499022,-0.37853214,0.0588576
227,0.59079623,0.4893777,0.49076942,-0.41059977,-0.04497351
228,0.58132195,0.47596246,0.50171727,-0.4284822,-0.014396372
229,0.5656271,0.6385474,0.42481223,-0.28056127,0.114643276
230,0.6534366,0.46823582,0.46377352,-0.37122747,-0.02966753
231,0.6551015,0.46961677,0.46065003,-0.37025535,-0.03185484
232,0.7060201,0.4487902,0.4197008,-0.34024957,-0.09057864
233,0.675784,0.58614683,0.3484875,-0.27428377,-0.05543275
234,0.6774107,0.5835026,0.35165036,-0.27360073,-0.046087362
235,0.67768574,0.57571447,0.36432233,-0.27307883,-0.044633295
236,0.83488685,0.40346098,-0.11486824,0.27409902,-0.22772378
237,0.47241345,0.10329823,-0.63923943,-0.3591166,0.47808278
238,0.46412534,0.112617016,-0.6412797,-0.36985752,0.47315004
239,0.8807471,0.12991096,0.35404515,0.09916491,-0.26874912
240,0.69930196,0.35374448,-0.12574878,0.5565971,-0.2454151
241,0.84252876,0.28003186,-0.34453413,0.062058266,0.29861763
242,0.80031437,0.49249178,-0.23958808,0.18209024,0.16244848
243,0.8198015,-0.4811404,0.16371696,0.1855892,-0.18757057
244,0.7448232,0.4877484,0.45117083,0.044755407,-0.04220897
245,0.7473805,0.48985654,0.44185397,-0.028753702,-0.0734928
246,0.74442315,0.48441485,0.4577776,0.03482124,-0.020089222
247,0.66113514,0.5154656,0.53479826,-0.10561369,0.005670536
248,0.74986833,0.4919326,0.43957973,0.03503585,-0.03524176
249,0.7278595,0.43690205,0.5004662,-0.1619734,-0.05133632
250,0.7322511,0.44621605,0.49120703,-0.13444103,-0.073080644
251,0.81236684,-0.52192885,-0.17685917,0.012249337,0.19031885
252,0.6936333,0.574766,-0.26955724,-0.09045177,-0.3281377
253,0.93398297,-0.334372,0.11822796,-0.024634546,-0.03586795
254,0.98533,0.023688275,-0.07429781,0.030577734,-0.14868958
255,0.92175776,-0.30150312,-0.024879979,-0.0995361,0.22120559
256,0.6049138,0.2752735,-0.37932017,-0.38803416,-0.51366293
257,0.7181788,0.13006613,0.091758795,0.6407101,-0.21993817
258,0.8284118,0.10611687,-0.23299426,-0.13107908,0.48062977
259,0.88544476,-0.4269619,0.08445153,-0.016830916,-0.1620982
